Year,FG%,3P%,2P%,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,SRS,ORtg,DRtg,Attend./G,Win %,Playoff
20-21,0.481,0.364,0.551,0.745,41.4,25.5,7.5,5.0,13.4,19.4,113.7,-3.45,113.6,117.2,,0.4305555555555556,0
20-21,0.468,0.376,0.541,0.785,43.0,27.7,8.2,4.8,15.0,21.2,113.7,1.1,111.1,110.1,929.0,0.5416666666666666,0
20-21,0.476,0.374,0.531,0.767,45.1,23.7,9.1,6.2,14.4,20.2,113.6,5.28,113.2,107.6,1905.0,0.6805555555555556,1
20-21,0.467,0.356,0.525,0.771,46.5,26.9,9.1,5.1,13.3,18.7,113.3,1.07,112.0,111.0,1707.0,0.5277777777777778,1
20-21,0.466,0.374,0.53,0.775,44.3,23.5,7.7,5.3,14.1,20.4,112.6,1.32,114.0,112.5,835.0,0.5,1
20-21,0.47,0.362,0.554,0.778,43.3,22.9,6.3,4.3,12.1,19.4,112.4,2.26,115.4,113.0,2635.0,0.5833333333333334,1
20-21,0.448,0.349,0.518,0.761,43.5,25.6,8.8,5.5,14.3,20.9,112.1,-5.25,109.5,115.0,438.0,0.3194444444444444,0
20-21,0.448,0.368,0.512,0.815,41.6,24.1,8.6,5.4,13.2,21.2,111.3,-0.54,112.0,112.5,723.0,0.375,0
20-21,0.462,0.35,0.514,0.792,43.9,24.4,7.0,5.1,11.4,18.0,111.1,-1.58,111.0,112.8,1696.0,0.4583333333333333,0
20-21,0.476,0.37,0.542,0.791,45.0,26.8,6.7,4.2,15.1,18.9,110.7,-0.94,111.1,112.0,379.0,0.4305555555555556,0
20-21,0.472,0.354,0.539,0.739,44.2,24.7,7.8,5.4,15.2,19.1,109.5,2.77,109.9,107.1,648.0,0.5833333333333334,1
20-21,0.455,0.369,0.517,0.761,43.8,26.8,7.8,4.8,14.8,18.0,109.5,-1.94,110.9,112.8,1896.0,0.4583333333333333,0
20-21,0.444,0.339,0.532,0.74,42.6,23.6,7.6,5.0,14.7,19.5,108.8,-7.5,107.1,114.9,3250.0,0.2361111111111111,0
20-21,0.468,0.358,0.553,0.79,41.5,26.3,7.9,4.0,14.1,18.9,108.1,-0.06,111.2,111.2,,0.5555555555555556,1
20-21,0.456,0.392,0.49,0.784,45.1,21.4,7.0,5.1,12.9,20.5,107.0,2.13,110.6,108.2,1170.0,0.5694444444444444,1
20-21,0.452,0.351,0.515,0.759,42.7,24.2,7.4,5.2,14.9,20.5,106.6,-4.38,108.0,112.5,396.0,0.2777777777777778,0
20-21,0.441,0.339,0.509,0.725,45.6,22.1,7.0,4.4,16.1,18.1,105.0,-10.13,103.5,114.0,,0.3055555555555556,0
20-21,0.429,0.343,0.476,0.775,45.4,21.8,6.9,4.4,12.8,17.2,104.0,-9.02,105.1,114.5,3513.0,0.2916666666666667,0
20-21,0.45,0.336,0.51,0.743,42.8,23.8,7.8,4.5,15.5,18.2,103.8,-8.19,105.8,114.4,2541.0,0.3055555555555556,0
90-91,0.44,0.283,0.461,0.763,49.4,24.5,10.4,5.0,16.2,27.3,119.9,-10.31,105.2,114.7,10685.0,0.2439024390243902,0
90-91,0.485,0.337,0.504,0.783,41.7,23.8,9.8,4.6,16.6,26.9,116.6,1.72,111.9,110.3,15049.0,0.5365853658536586,1
90-91,0.485,0.377,0.501,0.753,45.9,27.5,8.8,5.0,16.0,24.1,114.7,8.47,112.8,104.3,12884.0,0.7682926829268293,1
90-91,0.496,0.319,0.508,0.77,45.5,26.9,8.4,6.5,15.9,22.6,114.0,6.49,112.6,106.1,14487.0,0.6707317073170732,1
90-91,0.493,0.332,0.513,0.811,41.4,26.6,8.0,4.4,16.5,25.5,111.7,-0.37,111.7,112.1,11546.0,0.5,1
90-91,0.512,0.315,0.522,0.824,46.2,26.3,8.2,6.9,16.1,20.7,111.5,5.22,112.6,106.7,14890.0,0.6829268292682927,1
90-91,0.51,0.366,0.519,0.76,42.6,27.0,10.0,5.3,14.4,21.4,110.0,8.57,114.6,105.2,18480.0,0.7439024390243902,1
90-91,0.464,0.324,0.482,0.8,44.6,22.7,8.9,4.6,15.0,21.6,109.8,0.72,110.9,110.1,12907.0,0.524390243902439,1
90-91,0.488,0.273,0.497,0.766,46.2,26.1,8.2,7.0,17.6,23.1,107.1,4.3,107.8,103.3,15926.0,0.6707317073170732,1
90-91,0.467,0.32,0.49,0.741,46.1,23.2,9.7,5.0,17.1,22.9,106.7,3.27,107.4,103.9,14711.0,0.6341463414634146,1
90-91,0.492,0.319,0.503,0.75,41.4,24.9,10.5,4.6,17.1,24.1,106.6,1.31,109.7,108.5,12217.0,0.5,1
90-91,0.48,0.341,0.497,0.801,39.5,25.3,10.9,4.0,16.1,24.8,106.4,2.33,109.7,107.2,16480.0,0.5853658536585366,1
90-91,0.484,0.304,0.505,0.798,42.9,25.5,7.8,4.7,14.7,18.6,106.3,6.73,112.1,105.0,17076.0,0.7073170731707317,1
90-91,0.455,0.358,0.466,0.743,44.7,22.1,7.3,3.7,17.0,24.1,105.9,-3.79,105.9,109.9,15065.0,0.3780487804878049,0
90-91,0.475,0.316,0.491,0.79,42.4,22.2,8.3,5.8,15.0,19.9,105.4,-0.39,107.9,108.1,15471.0,0.5365853658536586,1
90-91,0.492,0.323,0.504,0.789,40.7,27.0,8.0,5.5,15.9,21.9,104.0,3.18,108.6,105.1,12616.0,0.6585365853658537,1
90-91,0.464,0.26,0.476,0.702,45.7,25.8,8.8,6.2,17.5,24.9,103.5,-3.16,103.0,106.5,12734.0,0.3780487804878049,0
90-91,0.485,0.332,0.499,0.77,42.5,26.5,7.8,5.1,16.8,21.5,103.1,-0.43,107.1,107.3,15975.0,0.4756097560975609,1
90-91,0.444,0.275,0.458,0.739,45.7,21.7,9.1,7.3,17.4,23.8,102.9,-4.53,102.9,107.4,11943.0,0.3170731707317073,0
90-91,0.467,0.314,0.477,0.779,39.4,24.6,9.3,3.7,15.7,23.7,102.8,-4.95,105.0,110.4,23906.0,0.3170731707317073,0
90-91,0.459,0.302,0.47,0.715,43.1,23.2,9.2,4.7,18.9,25.4,101.8,-5.91,102.0,108.1,15008.0,0.2926829268292683,0
90-91,0.475,0.334,0.486,0.765,40.7,27.3,7.8,5.5,15.6,20.4,101.7,-2.33,106.1,108.7,15213.0,0.4024390243902439,0
90-91,0.466,0.194,0.478,0.729,43.5,25.4,7.2,5.7,16.6,23.5,101.4,-4.84,103.0,108.1,11769.0,0.3658536585365853,0
90-91,0.465,0.298,0.476,0.763,44.6,22.3,5.9,4.5,14.4,22.8,100.1,3.08,108.2,104.6,21454.0,0.6097560975609756,1
90-91,0.471,0.322,0.485,0.761,40.8,22.2,7.1,4.8,14.5,22.4,99.9,-4.27,105.5,110.3,16410.0,0.3414634146341463,0
90-91,0.449,0.283,0.458,0.735,41.3,23.0,8.7,5.4,13.0,22.7,99.6,-3.75,106.7,110.9,18940.0,0.3536585365853658,0
90-91,0.453,0.374,0.46,0.732,39.6,24.3,7.7,6.3,15.5,25.3,96.7,-6.27,102.0,109.1,17015.0,0.3048780487804878,0
97-98,0.481,0.351,0.517,0.679,43.3,24.5,9.0,6.8,15.3,22.7,105.5,6.88,111.9,103.7,16878.0,0.7439024390243902,1
97-98,0.461,0.347,0.478,0.743,42.6,25.2,7.8,5.2,13.9,23.0,101.1,0.17,107.8,107.1,18014.0,0.5487804878048781,1
97-98,0.49,0.372,0.504,0.773,41.1,25.2,7.9,5.0,15.4,23.9,101.0,5.73,112.7,105.4,19900.0,0.7560975609756098,1
97-98,0.473,0.396,0.497,0.721,38.5,24.2,9.8,4.6,14.0,22.1,100.6,6.33,111.6,103.6,17072.0,0.7439024390243902,1
97-98,0.468,0.356,0.492,0.749,42.0,25.9,9.2,5.2,15.1,21.5,99.6,4.44,107.4,101.8,19023.0,0.6829268292682927,1
97-98,0.441,0.331,0.458,0.744,42.5,20.5,9.5,3.8,14.4,23.4,99.6,1.88,108.3,106.6,17525.0,0.524390243902439,1
97-98,0.452,0.343,0.49,0.771,40.7,21.9,8.4,3.6,15.8,20.2,98.8,-1.23,107.7,108.6,16285.0,0.5,1
97-98,0.452,0.339,0.47,0.691,42.2,23.2,8.4,4.6,14.1,22.4,97.2,1.11,105.2,104.5,19665.0,0.5121951219512195,0
97-98,0.451,0.323,0.471,0.743,44.9,23.8,8.5,4.3,14.4,20.6,96.7,7.24,107.7,99.8,23986.0,0.7560975609756098,1
97-98,0.468,0.383,0.482,0.751,40.6,23.7,8.4,3.8,15.2,21.4,96.6,2.45,107.5,105.3,23406.0,0.6219512195121951,1
97-98,0.458,0.362,0.473,0.739,41.4,23.9,7.5,4.3,17.1,22.1,96.6,-7.47,104.1,112.0,16109.0,0.2317073170731707,0
97-98,0.469,0.39,0.485,0.764,39.3,23.0,7.9,4.5,14.2,22.7,96.0,6.25,108.4,101.6,15763.0,0.7073170731707317,1
97-98,0.434,0.332,0.457,0.726,39.5,22.1,12.0,4.5,16.2,26.9,95.9,-1.96,102.6,105.4,18132.0,0.4390243902439024,0
97-98,0.438,0.358,0.461,0.723,40.4,18.7,7.6,5.6,16.1,22.3,95.9,-7.53,103.3,111.2,9128.0,0.2073170731707317,0
97-98,0.455,0.332,0.478,0.756,43.0,19.1,8.0,6.0,14.8,20.4,95.9,3.85,108.2,104.3,20242.0,0.6097560975609756,1
97-98,0.45,0.355,0.481,0.739,42.0,21.4,8.1,5.2,15.0,24.2,95.0,5.09,107.6,102.0,14997.0,0.6707317073170732,1
97-98,0.435,0.343,0.453,0.718,40.7,21.3,9.4,8.1,16.7,22.6,94.9,-8.33,101.2,111.0,16527.0,0.1951219512195122,0
97-98,0.456,0.354,0.469,0.767,39.9,20.1,8.9,4.4,16.9,23.4,94.5,-1.33,103.5,105.6,15562.0,0.4390243902439024,0
97-98,0.451,0.309,0.479,0.737,44.0,21.5,7.1,5.7,16.9,22.7,94.3,0.83,104.0,102.4,20577.0,0.5609756097560976,1
97-98,0.449,0.312,0.473,0.745,41.2,19.5,8.3,4.2,14.6,22.0,94.2,1.95,105.3,103.5,19380.0,0.4512195121951219,0
