Year,FG%,3P%,2P%,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,SRS,ORtg,DRtg,Attend./G,Win %,Playoff
13-14,0.463,0.372,0.503,0.758,43.0,19.1,8.4,4.6,15.3,21.9,105.2,3.02,109.5,106.7,15872.0,0.5853658536585366,0
13-14,0.474,0.384,0.508,0.795,40.9,23.6,8.6,4.3,13.5,20.0,104.8,2.91,111.2,108.7,19951.0,0.5975609756097561,1
13-14,0.447,0.358,0.481,0.726,45.4,22.4,7.5,5.6,15.9,23.0,104.4,-1.4,106.0,108.2,16900.0,0.4390243902439024,0
13-14,0.462,0.38,0.496,0.753,45.3,23.3,7.8,5.0,15.2,21.8,104.3,5.15,107.5,102.6,19596.0,0.6219512195121951,1
13-14,0.45,0.381,0.478,0.757,41.0,24.5,7.5,5.4,15.1,19.8,103.0,-5.33,104.2,110.6,18829.0,0.3292682926829268,0
13-14,0.501,0.364,0.558,0.76,36.9,22.5,8.9,4.5,14.8,19.5,102.2,4.15,110.9,105.8,19781.0,0.6585365853658537,1
13-14,0.445,0.372,0.475,0.782,42.5,21.2,7.0,4.2,14.1,23.0,101.3,2.55,108.8,105.3,18252.0,0.5853658536585366,1
13-14,0.458,0.363,0.502,0.781,40.0,24.9,8.3,4.0,15.3,19.2,101.0,-0.88,105.9,106.4,14231.0,0.4634146341463415,1
13-14,0.447,0.321,0.483,0.67,45.4,20.9,8.4,4.8,14.5,20.3,101.0,-4.13,105.9,109.7,15025.0,0.3536585365853658,0
13-14,0.459,0.38,0.485,0.731,42.2,23.3,8.1,4.6,14.7,20.4,100.7,0.48,106.0,104.6,17026.0,0.5365853658536586,1
13-14,0.447,0.333,0.479,0.759,44.5,18.9,7.2,3.9,15.2,22.5,100.5,-2.08,105.7,108.8,16291.0,0.3414634146341463,0
13-14,0.459,0.373,0.479,0.769,41.7,21.3,7.9,6.4,13.8,22.6,99.7,-1.98,107.2,110.1,16391.0,0.4146341463414634,0
13-14,0.435,0.312,0.477,0.71,42.7,21.8,9.3,4.0,16.9,22.5,99.5,-10.66,99.4,109.9,13869.0,0.2317073170731707,0
13-14,0.449,0.372,0.482,0.761,40.3,20.0,7.7,4.5,13.0,22.1,98.6,-1.4,108.3,109.1,19812.0,0.4512195121951219,0
13-14,0.459,0.369,0.497,0.753,38.1,20.9,8.6,3.8,14.5,21.7,98.5,-1.58,106.7,107.7,17252.0,0.5365853658536586,1
13-14,0.437,0.356,0.461,0.751,44.1,21.2,7.1,3.7,14.2,20.0,98.2,-3.86,104.2,107.7,17330.0,0.4024390243902439,0
13-14,0.442,0.351,0.468,0.737,42.7,21.7,6.1,5.1,12.3,18.2,96.9,-0.89,103.6,103.8,15519.0,0.524390243902439,1
13-14,0.449,0.357,0.477,0.779,44.7,20.1,6.7,5.4,15.1,20.4,96.7,3.63,104.1,99.3,17501.0,0.6829268292682927,1
13-14,0.445,0.353,0.474,0.763,42.0,21.0,7.7,4.3,14.9,20.5,96.5,-5.88,101.7,107.4,16245.0,0.2804878048780488,0
13-14,0.435,0.333,0.47,0.777,42.5,21.0,7.1,4.2,15.4,21.3,96.2,-4.97,102.9,107.7,18107.0,0.3048780487804878,0
13-14,0.464,0.353,0.487,0.741,42.4,21.9,7.7,4.6,13.7,19.1,96.1,2.18,106.3,104.6,16718.0,0.6097560975609756,1
13-14,0.438,0.353,0.464,0.747,41.1,21.5,6.6,4.9,15.1,20.9,95.5,-8.41,103.0,111.8,13465.0,0.1829268292682926,0
13-14,0.444,0.344,0.474,0.747,41.2,20.3,7.0,4.5,14.6,20.7,95.0,-6.27,103.5,111.3,18176.0,0.3048780487804878,0
13-14,0.432,0.348,0.456,0.779,44.1,22.7,7.2,5.2,14.9,19.1,93.7,1.2,102.5,100.5,21716.0,0.5853658536585366,1
92-93,0.493,0.363,0.516,0.753,44.5,25.5,9.2,5.5,16.6,21.2,113.4,6.27,113.3,106.7,19023.0,0.7560975609756098,1
92-93,0.487,0.326,0.5,0.771,43.9,26.4,7.8,5.8,16.2,21.8,110.1,-0.02,109.5,109.7,23704.0,0.5365853658536586,1
92-93,0.482,0.35,0.499,0.717,43.9,24.5,8.5,4.7,17.7,25.1,109.9,-0.94,109.2,110.2,15025.0,0.4146341463414634,0
92-93,0.458,0.326,0.475,0.745,45.5,24.0,9.4,5.2,14.8,23.1,108.5,2.92,108.3,105.2,12888.0,0.6219512195121951,1
92-93,0.486,0.357,0.498,0.761,42.4,23.2,11.5,5.0,15.5,24.0,108.3,6.66,112.3,104.9,13453.0,0.6707317073170732,1
92-93,0.463,0.332,0.478,0.762,41.7,25.3,9.4,4.2,16.6,25.4,107.9,-3.0,106.5,109.6,17317.0,0.3048780487804878,0
92-93,0.48,0.326,0.5,0.766,44.8,26.1,7.5,4.9,15.3,24.9,107.8,1.77,111.9,110.1,12949.0,0.5,1
92-93,0.497,0.381,0.511,0.802,41.8,28.6,7.5,6.5,13.7,19.3,107.7,6.3,112.7,106.0,18328.0,0.6585365853658537,1
92-93,0.466,0.355,0.486,0.742,44.3,25.4,9.8,3.4,16.3,22.0,107.5,-0.67,109.3,110.2,11981.0,0.524390243902439,1
92-93,0.484,0.271,0.499,0.718,43.2,27.3,10.3,6.0,16.3,23.4,107.1,0.33,107.4,107.1,12991.0,0.5,1
92-93,0.489,0.314,0.5,0.766,42.7,26.5,9.1,4.2,15.5,24.0,106.2,1.74,109.6,107.4,19900.0,0.573170731707317,1
92-93,0.486,0.357,0.505,0.73,44.0,23.8,6.6,5.7,17.4,23.5,105.5,1.35,108.5,107.1,15151.0,0.5,0
92-93,0.49,0.341,0.507,0.765,42.2,24.5,7.1,6.3,15.0,22.5,105.5,2.21,109.6,106.8,16057.0,0.5975609756097561,1
92-93,0.482,0.365,0.494,0.733,43.6,26.0,9.5,5.0,13.5,22.0,105.2,6.19,112.9,106.1,18528.0,0.6951219512195121,1
92-93,0.46,0.304,0.471,0.756,46.7,21.2,7.9,6.9,17.2,24.9,105.2,-2.14,104.6,106.3,14303.0,0.4390243902439024,0
92-93,0.456,0.351,0.472,0.786,42.2,24.9,8.2,6.9,16.6,19.6,104.3,-5.25,104.6,110.4,12568.0,0.3170731707317073,0
92-93,0.473,0.299,0.49,0.756,41.4,24.5,9.5,5.3,15.4,21.7,104.2,-1.2,107.6,108.9,15455.0,0.4756097560975609,1
92-93,0.486,0.361,0.51,0.758,42.9,25.8,8.3,6.6,15.8,20.7,104.0,3.57,109.6,105.2,13492.0,0.6707317073170732,1
92-93,0.487,0.287,0.498,0.777,42.8,24.4,7.9,5.6,14.3,22.7,103.7,0.93,108.7,107.8,14890.0,0.5853658536585366,1
92-93,0.456,0.354,0.473,0.771,42.9,20.6,7.4,4.3,15.7,24.5,103.6,-0.93,107.7,108.9,14998.0,0.4390243902439024,0
92-93,0.462,0.318,0.473,0.767,46.3,22.8,8.5,6.4,16.5,23.1,102.8,1.2,106.5,105.2,15132.0,0.524390243902439,1
92-93,0.472,0.333,0.494,0.742,38.6,25.4,10.5,4.8,16.6,24.1,102.3,-3.26,106.2,110.1,16125.0,0.3414634146341463,0
92-93,0.467,0.301,0.482,0.748,40.8,25.7,8.2,4.4,16.1,21.9,101.9,-6.49,103.6,110.8,13772.0,0.2682926829268293,0
92-93,0.465,0.32,0.479,0.741,46.5,25.9,8.3,4.5,15.8,25.7,101.6,5.87,106.1,99.7,19630.0,0.7317073170731707,1
92-93,0.453,0.322,0.472,0.729,44.0,23.7,7.1,3.0,14.0,21.3,100.6,-1.1,107.4,108.9,21698.0,0.4878048780487805,0
92-93,0.435,0.338,0.448,0.705,42.7,20.5,7.9,4.3,17.8,28.1,99.3,-14.68,99.5,114.7,13530.0,0.1341463414634146,0
92-93,0.466,0.292,0.483,0.798,38.3,24.4,7.9,5.5,17.3,24.7,98.1,-7.62,103.6,111.8,18405.0,0.2317073170731707,0
01-02,0.462,0.378,0.488,0.806,42.5,22.1,7.1,4.8,12.1,22.5,105.2,4.41,112.2,107.7,19580.0,0.6951219512195121,1
01-02,0.467,0.367,0.486,0.751,45.3,23.9,9.0,4.6,13.8,19.0,104.6,7.61,109.0,101.1,17317.0,0.7439024390243902,1
01-02,0.461,0.354,0.489,0.699,44.3,23.0,7.6,5.8,12.7,22.2,101.3,7.15,109.4,101.7,18995.0,0.7073170731707317,1
01-02,0.448,0.373,0.471,0.754,41.2,22.0,8.1,4.7,13.6,20.7,100.5,1.25,107.0,105.3,15149.0,0.5365853658536586,1
01-02,0.461,0.378,0.476,0.798,44.2,24.3,6.4,5.2,13.4,21.2,99.3,3.58,109.0,105.3,17846.0,0.6097560975609756,1
01-02,0.429,0.322,0.447,0.722,46.7,20.8,7.9,6.4,16.8,23.0,97.7,-4.8,102.8,108.5,14468.0,0.2560975609756097,0
01-02,0.469,0.378,0.49,0.755,40.3,23.5,8.5,4.4,13.7,21.1,97.7,3.24,108.9,105.6,15452.0,0.5487804878048781,1
01-02,0.462,0.375,0.49,0.748,41.4,22.5,7.3,4.7,14.1,21.8,97.5,-0.62,106.9,107.1,18178.0,0.5,0
01-02,0.446,0.339,0.47,0.772,42.7,23.0,8.0,5.3,15.2,22.9,96.8,-0.07,104.1,103.8,16745.0,0.5121951219512195,1
01-02,0.458,0.362,0.48,0.742,42.4,20.0,7.6,6.5,14.4,19.2,96.7,6.28,106.5,99.7,22107.0,0.7073170731707317,1
01-02,0.45,0.354,0.474,0.763,43.0,23.5,8.6,4.5,14.3,19.7,96.6,3.21,107.4,104.0,19459.0,0.5975609756097561,1
01-02,0.424,0.359,0.45,0.764,42.2,21.0,9.7,3.6,13.6,21.7,96.4,1.75,103.4,101.0,16091.0,0.5975609756097561,1
01-02,0.446,0.338,0.469,0.735,43.3,24.3,8.7,6.0,14.5,21.1,96.2,3.67,104.0,99.5,13761.0,0.6341463414634146,1
01-02,0.45,0.333,0.468,0.763,42.2,24.4,9.1,6.4,16.5,24.0,96.0,1.21,105.6,104.6,18686.0,0.5365853658536586,1
01-02,0.445,0.356,0.464,0.739,43.4,20.9,6.2,6.6,14.8,19.8,95.7,-0.09,105.5,106.0,18053.0,0.4756097560975609,0
01-02,0.448,0.377,0.461,0.772,42.1,23.1,7.0,5.7,14.6,21.4,95.3,-3.52,104.6,108.2,14539.0,0.3536585365853658,0
01-02,0.447,0.327,0.469,0.767,42.7,22.4,8.1,4.9,14.7,21.8,95.1,-0.3,103.3,104.0,16316.0,0.4390243902439024,0
01-02,0.452,0.376,0.475,0.756,38.7,21.5,7.9,6.9,14.5,20.7,94.3,1.69,104.8,102.4,18556.0,0.6097560975609756,1
01-02,0.439,0.354,0.458,0.765,41.5,20.2,8.1,4.3,15.5,20.8,94.0,-4.41,101.8,106.4,12344.0,0.4024390243902439,0
01-02,0.44,0.348,0.456,0.745,43.5,21.5,8.0,5.6,14.0,21.3,93.9,0.57,104.3,103.3,11286.0,0.5365853658536586,1
01-02,0.441,0.388,0.448,0.765,42.0,20.9,7.0,4.3,13.0,21.5,92.8,-1.58,104.8,106.4,20674.0,0.4512195121951219,0
01-02,0.428,0.335,0.455,0.741,41.9,18.1,6.5,5.4,14.1,18.0,92.3,-4.31,103.1,108.6,11737.0,0.3414634146341463,0
01-02,0.424,0.329,0.446,0.744,41.8,22.2,7.5,5.6,14.7,22.8,92.2,-5.19,101.4,107.8,15460.0,0.3292682926829268,0
01-02,0.432,0.353,0.453,0.787,40.7,21.0,6.8,3.5,14.5,22.0,91.6,-4.15,101.5,105.9,19763.0,0.3658536585365853,0
01-02,0.434,0.349,0.451,0.739,42.1,21.7,8.4,5.5,14.3,21.6,91.4,-0.71,102.6,103.1,19760.0,0.5121951219512195,1
01-02,0.436,0.299,0.453,0.779,44.2,20.0,8.6,4.4,15.3,20.1,91.0,1.27,102.1,100.3,20560.0,0.524390243902439,1
01-02,0.436,0.307,0.462,0.708,41.4,21.8,7.9,6.0,16.4,19.2,89.9,-6.74,98.2,106.3,14415.0,0.2804878048780488,0
01-02,0.433,0.346,0.447,0.722,40.0,22.2,7.7,4.4,15.3,22.4,89.5,-8.52,98.2,107.6,18934.0,0.2560975609756097,0
01-02,0.439,0.347,0.454,0.724,42.0,20.3,6.7,5.5,14.8,22.5,87.2,-1.84,98.5,100.2,15989.0,0.4390243902439024,0
11-12,0.476,0.332,0.522,0.735,43.1,24.0,8.2,5.0,15.4,19.7,104.1,3.16,109.2,106.2,17029.0,0.4634146341463415,1
11-12,0.478,0.393,0.507,0.748,43.0,23.2,7.4,4.4,13.6,17.3,103.7,7.28,110.9,103.2,18397.0,0.6097560975609756,1
11-12,0.471,0.358,0.509,0.806,43.7,18.5,7.5,8.2,16.3,20.5,103.1,6.44,109.8,103.2,18203.0,0.573170731707317,1
11-12,0.456,0.323,0.48,0.754,44.2,21.8,8.3,5.8,14.2,21.8,99.7,0.92,106.8,106.1,19307.0,0.4390243902439024,1
11-12,0.443,0.345,0.471,0.774,42.5,23.5,8.3,5.1,14.1,19.3,99.0,-0.23,105.5,105.2,14719.0,0.3780487804878049,0
11-12,0.436,0.316,0.471,0.736,42.9,19.3,8.5,4.9,14.4,19.5,98.8,-4.95,103.8,109.8,14508.0,0.2682926829268293,0
11-12,0.469,0.359,0.496,0.775,41.6,20.0,8.9,5.4,15.2,19.4,98.5,5.72,106.6,100.2,19935.0,0.5609756097560976,1
11-12,0.458,0.343,0.494,0.757,41.7,22.5,6.5,5.5,14.1,18.7,98.4,0.29,106.2,106.5,15598.0,0.4024390243902439,0
11-12,0.449,0.359,0.477,0.782,42.2,21.3,7.5,4.8,14.5,20.4,98.1,0.57,105.5,105.2,15363.0,0.4146341463414634,0
11-12,0.433,0.332,0.469,0.771,43.7,19.5,6.6,4.4,15.2,18.4,97.9,-1.83,104.3,106.6,17491.0,0.3170731707317073,0
11-12,0.457,0.388,0.48,0.77,39.2,22.3,8.0,5.5,13.9,21.4,97.8,-2.79,105.4,109.1,18858.0,0.2804878048780488,0
11-12,0.443,0.336,0.487,0.741,41.7,20.1,9.4,4.2,16.0,21.1,97.8,2.39,104.4,101.0,19763.0,0.4390243902439024,1
11-12,0.438,0.368,0.455,0.782,43.9,18.6,7.9,5.4,14.0,21.7,97.7,2.6,106.7,103.1,14169.0,0.5121951219512195,1
11-12,0.455,0.357,0.49,0.68,41.6,21.0,8.4,4.8,13.3,21.2,97.5,2.82,108.5,105.7,19219.0,0.4878048780487805,1
11-12,0.457,0.326,0.491,0.756,46.2,22.5,5.9,5.3,15.1,16.8,97.3,1.96,106.0,104.4,18997.0,0.5,1
11-12,0.443,0.346,0.477,0.796,40.7,20.4,8.0,4.9,14.2,19.0,97.2,-0.22,105.7,106.4,20496.0,0.3414634146341463,0
11-12,0.454,0.37,0.482,0.74,41.2,22.4,8.1,4.6,14.0,17.8,96.6,2.67,104.9,101.2,15200.0,0.4878048780487805,1
11-12,0.452,0.375,0.471,0.722,46.7,23.1,6.9,5.9,14.0,17.3,96.3,7.43,107.4,98.3,22161.0,0.6097560975609756,1
11-12,0.443,0.339,0.482,0.771,42.8,20.9,8.6,5.1,14.0,18.6,95.8,1.78,103.3,102.3,20335.0,0.4390243902439024,1
11-12,0.447,0.326,0.47,0.759,42.0,19.5,9.6,5.2,14.5,19.9,95.0,2.43,104.0,101.8,15710.0,0.5,1
11-12,0.441,0.375,0.475,0.66,42.5,20.0,6.8,4.2,14.9,17.7,94.2,0.46,105.0,104.1,18897.0,0.4512195121951219,1
11-12,0.441,0.32,0.47,0.727,41.7,19.1,8.0,6.3,15.3,21.3,93.6,-5.14,101.0,106.2,16728.0,0.2439024390243902,0
11-12,0.448,0.362,0.466,0.742,43.2,22.0,8.0,5.2,11.2,17.5,93.6,3.59,103.9,99.2,17503.0,0.4268292682926829,1
11-12,0.425,0.342,0.457,0.777,40.3,19.9,7.5,3.9,15.1,19.2,93.1,-6.37,102.9,109.6,13961.0,0.2682926829268293,0
11-12,0.422,0.346,0.446,0.716,42.3,19.8,7.1,4.0,15.4,20.0,93.0,-7.34,101.1,108.9,15927.0,0.2560975609756097,0
11-12,0.46,0.367,0.483,0.778,38.8,23.6,7.5,5.5,14.8,19.9,91.8,2.26,101.0,98.2,18624.0,0.4756097560975609,1
11-12,0.438,0.346,0.457,0.752,40.3,18.7,7.0,4.2,15.7,19.6,90.9,-5.19,101.0,106.3,14413.0,0.3048780487804878,0
11-12,0.44,0.34,0.467,0.77,42.0,20.9,6.5,4.9,15.2,23.2,90.7,-3.67,100.8,104.5,16836.0,0.2804878048780488,0
11-12,0.451,0.333,0.472,0.757,41.1,20.7,7.4,4.8,15.5,20.1,89.6,-3.11,100.9,105.1,15110.0,0.2560975609756097,0
11-12,0.414,0.295,0.439,0.746,39.0,20.1,6.0,5.5,14.5,18.9,87.0,-13.96,95.2,110.4,14757.0,0.0853658536585365,0
22-23,0.494,0.369,0.586,0.79,42.5,27.3,7.0,3.4,13.5,19.7,120.7,2.3,119.4,116.8,17451.0,0.5853658536585366,1
22-23,0.479,0.385,0.564,0.794,44.6,29.8,7.2,3.9,16.3,21.4,118.9,1.66,116.1,114.4,18064.0,0.5365853658536586,1
22-23,0.483,0.352,0.548,0.818,44.4,25.0,7.1,4.9,12.9,18.8,118.4,0.32,116.6,116.3,17556.0,0.5,1
22-23,0.475,0.377,0.567,0.812,45.3,26.7,6.4,5.2,13.4,18.8,117.9,6.38,118.0,111.5,18689.0,0.6951219512195121,1
22-23,0.465,0.356,0.53,0.809,43.6,24.4,8.2,4.2,13.0,21.0,117.5,0.96,115.2,114.2,15534.0,0.4878048780487805,1
22-23,0.482,0.346,0.555,0.775,45.7,25.3,6.4,4.6,14.1,17.9,117.2,0.43,114.5,113.9,18614.0,0.524390243902439,1
22-23,0.473,0.353,0.56,0.786,45.9,26.0,6.1,5.2,15.4,20.5,117.1,-1.03,115.8,116.7,17762.0,0.4512195121951219,0
22-23,0.475,0.351,0.548,0.733,46.6,26.0,8.3,5.8,13.6,20.0,116.9,3.6,115.1,111.2,17264.0,0.6219512195121951,1
22-23,0.473,0.368,0.557,0.743,48.6,25.8,6.4,4.9,14.6,18.1,116.9,3.61,115.4,111.9,17531.0,0.7073170731707317,1
22-23,0.469,0.367,0.54,0.79,41.5,27.0,7.7,5.8,14.9,21.2,116.3,-2.91,114.6,117.7,15648.0,0.4268292682926829,0
22-23,0.47,0.354,0.547,0.761,46.6,22.9,6.4,4.1,13.0,20.3,116.0,2.99,117.8,114.8,19393.0,0.573170731707317,1
22-23,0.504,0.379,0.575,0.751,43.0,28.9,7.5,4.5,14.5,18.6,115.8,3.04,117.6,114.2,19235.0,0.6463414634146342,1
22-23,0.49,0.365,0.568,0.755,41.9,26.2,8.0,5.4,15.3,21.6,115.8,-0.22,113.7,113.8,16769.0,0.5121951219512195,1
22-23,0.487,0.387,0.551,0.835,40.9,25.2,7.7,4.7,13.7,20.4,115.2,4.37,117.7,113.3,20470.0,0.6585365853658537,1
22-23,0.48,0.364,0.541,0.793,43.7,25.9,8.3,4.1,14.6,20.5,114.4,1.63,114.4,112.5,16773.0,0.5121951219512195,1
22-23,0.475,0.371,0.574,0.755,38.8,22.9,6.3,3.7,12.2,20.7,114.2,-0.14,116.8,116.7,20178.0,0.4634146341463415,0
22-23,0.467,0.374,0.52,0.793,44.2,27.3,7.1,5.3,13.5,21.2,113.6,2.08,115.1,113.0,17071.0,0.5487804878048781,1
22-23,0.477,0.381,0.539,0.781,43.2,23.9,7.1,4.4,14.2,19.5,113.6,0.31,115.0,114.5,17574.0,0.5365853658536586,1
22-23,0.474,0.365,0.55,0.796,40.5,24.2,6.7,4.6,14.5,20.0,113.4,-3.96,114.8,118.8,18716.0,0.4024390243902439,0
22-23,0.487,0.378,0.559,0.8,40.5,25.5,7.1,6.2,13.7,21.1,113.4,1.03,115.0,114.1,17669.0,0.5487804878048781,1
22-23,0.485,0.356,0.559,0.785,43.6,25.4,6.8,5.2,14.1,18.8,113.2,-1.06,114.4,115.6,17329.0,0.4268292682926829,0
22-23,0.49,0.361,0.555,0.809,42.4,24.5,7.9,4.5,13.4,18.9,113.1,1.37,113.5,112.2,20528.0,0.4878048780487805,1
22-23,0.465,0.345,0.529,0.743,43.7,27.2,7.0,3.9,15.3,19.9,113.0,-9.82,110.2,120.0,15508.0,0.2682926829268293,0
22-23,0.459,0.335,0.525,0.784,43.0,23.9,9.4,5.2,11.7,20.0,112.9,1.59,115.5,114.0,19787.0,0.5,1
22-23,0.488,0.367,0.559,0.78,41.1,24.9,7.1,4.7,13.3,19.0,112.3,5.23,116.1,110.6,18958.0,0.6219512195121951,1
22-23,0.47,0.346,0.539,0.784,43.2,23.2,7.4,4.7,15.1,20.1,111.4,-2.39,111.6,114.2,17766.0,0.4146341463414634,0
22-23,0.457,0.33,0.528,0.749,44.5,25.1,7.7,5.2,14.2,20.3,111.0,-5.89,109.2,115.3,17123.0,0.3292682926829268,0
22-23,0.457,0.327,0.53,0.754,46.3,22.4,7.3,4.6,16.2,20.5,110.7,-7.62,111.4,119.3,16314.0,0.2682926829268293,0
22-23,0.454,0.351,0.516,0.771,42.4,23.0,7.0,3.8,15.1,22.1,110.3,-7.73,110.7,118.9,18596.0,0.2073170731707317,0
22-23,0.46,0.344,0.54,0.831,40.6,23.8,8.0,3.0,13.5,18.5,109.5,-0.13,113.0,113.3,19688.0,0.5365853658536586,1
94-95,0.502,0.37,0.535,0.669,44.0,27.8,8.2,6.0,15.8,21.0,110.9,6.44,115.1,107.8,16010.0,0.6951219512195121,1
94-95,0.482,0.369,0.515,0.756,41.8,26.8,8.4,3.8,14.2,22.4,110.6,3.86,114.5,110.4,19023.0,0.7195121951219512,1
94-95,0.491,0.376,0.519,0.758,41.5,25.8,11.2,4.8,15.8,25.2,110.4,7.91,114.8,106.3,15454.0,0.6951219512195121,1
94-95,0.484,0.375,0.507,0.738,45.0,23.4,8.0,5.6,15.2,22.8,106.6,5.9,111.7,105.4,22449.0,0.7560975609756098,1
94-95,0.512,0.376,0.531,0.781,40.1,27.5,9.2,4.8,15.7,24.9,106.4,7.76,114.3,105.7,19784.0,0.7317073170731707,1
94-95,0.468,0.341,0.507,0.704,42.3,24.6,7.9,4.8,18.3,22.0,105.7,-4.9,106.7,112.2,15025.0,0.3170731707317073,0
94-95,0.463,0.352,0.493,0.735,42.0,25.3,9.1,6.9,15.2,23.6,105.1,-0.01,109.1,109.4,14418.0,0.5853658536585366,1
94-95,0.48,0.368,0.521,0.749,40.5,25.1,8.8,6.3,16.1,20.9,103.5,2.32,109.7,107.4,15936.0,0.573170731707317,1
94-95,0.44,0.322,0.463,0.734,48.1,23.7,7.1,4.2,16.4,22.1,103.2,-2.39,107.6,110.6,16547.0,0.4390243902439024,0
94-95,0.451,0.365,0.469,0.697,46.3,22.5,8.1,5.7,14.8,24.7,103.1,3.8,109.7,105.7,12888.0,0.5365853658536586,1
94-95,0.464,0.368,0.48,0.753,42.4,21.7,7.5,4.4,15.9,24.1,102.8,-1.92,108.6,110.6,14869.0,0.4268292682926829,1
94-95,0.476,0.373,0.498,0.726,41.5,24.0,9.7,4.3,15.8,23.9,101.5,4.32,109.5,104.3,22591.0,0.573170731707317,1
94-95,0.479,0.356,0.507,0.738,42.0,22.4,8.0,7.1,16.8,25.2,101.3,0.96,109.1,108.2,17171.0,0.5,1
94-95,0.467,0.369,0.487,0.736,41.0,21.7,8.1,3.6,15.7,24.4,101.1,-1.85,108.2,109.9,14604.0,0.3902439024390244,0
94-95,0.474,0.397,0.495,0.777,39.4,25.3,7.6,4.9,14.9,20.5,100.6,2.87,109.6,106.1,23698.0,0.6097560975609756,1
94-95,0.46,0.343,0.487,0.724,39.8,21.3,7.9,4.9,15.9,23.8,100.5,-5.56,105.4,111.3,17255.0,0.2560975609756097,0
94-95,0.459,0.366,0.483,0.712,39.6,21.2,8.2,4.4,17.0,22.7,99.3,-4.3,106.2,110.9,16359.0,0.4146341463414634,0
94-95,0.477,0.38,0.496,0.751,40.7,22.9,8.6,4.4,16.3,23.6,99.2,3.35,109.6,105.6,15962.0,0.6341463414634146,1
94-95,0.467,0.368,0.496,0.734,41.5,25.1,7.2,4.7,15.9,25.6,98.2,2.78,107.2,103.8,19763.0,0.6707317073170732,1
94-95,0.468,0.346,0.491,0.711,41.4,22.2,7.9,5.6,17.7,24.9,98.2,-0.74,105.5,106.5,17317.0,0.4756097560975609,0
94-95,0.461,0.354,0.49,0.741,38.6,22.8,8.6,5.1,16.1,26.2,98.2,-7.08,105.1,112.9,17539.0,0.3414634146341463,0
94-95,0.436,0.319,0.464,0.759,46.1,23.0,6.6,6.7,15.9,22.5,98.1,-3.28,105.2,108.6,16685.0,0.3658536585365853,0
94-95,0.444,0.315,0.468,0.71,38.3,22.0,9.6,5.3,16.3,26.2,96.7,-8.43,101.5,111.1,9333.0,0.2073170731707317,0
94-95,0.447,0.341,0.48,0.724,41.2,21.4,9.0,5.0,14.9,22.0,96.6,1.06,106.6,105.2,12312.0,0.5121951219512195,1
94-95,0.448,0.379,0.46,0.737,40.7,19.1,7.8,7.0,16.5,22.4,95.4,-5.06,104.1,109.7,12386.0,0.2926829268292683,0
94-95,0.449,0.313,0.475,0.775,36.3,21.7,7.4,4.9,17.1,25.3,94.2,-8.22,102.6,112.4,14720.0,0.2560975609756097,0
94-95,0.441,0.385,0.452,0.76,40.0,20.4,7.7,4.3,14.3,20.7,90.5,0.55,105.3,104.6,20338.0,0.524390243902439,1
99-00,0.45,0.322,0.487,0.754,45.0,23.8,9.6,4.6,16.2,21.1,105.0,3.04,105.0,102.1,17185.0,0.5365853658536586,1
99-00,0.459,0.359,0.481,0.781,41.2,20.8,8.1,3.3,15.7,24.5,103.5,1.13,107.3,105.8,16548.0,0.5121951219512195,1
99-00,0.453,0.391,0.468,0.804,41.2,22.1,7.2,5.1,13.7,21.6,101.4,-0.29,106.6,107.2,14785.0,0.4878048780487805,0
99-00,0.459,0.392,0.478,0.811,42.1,22.6,6.8,5.1,14.1,21.8,101.3,4.15,108.5,103.6,18345.0,0.6829268292682927,1
99-00,0.465,0.369,0.483,0.786,41.3,22.6,8.2,4.6,15.0,24.6,101.2,-0.06,108.2,107.9,15332.0,0.5121951219512195,1
99-00,0.459,0.329,0.482,0.696,47.0,23.4,7.5,6.5,13.9,22.5,100.8,8.41,107.3,98.2,18815.0,0.8170731707317073,1
99-00,0.452,0.338,0.468,0.735,44.9,20.8,9.1,5.7,17.6,24.0,100.1,0.43,102.4,101.7,14059.0,0.5,0
99-00,0.45,0.358,0.48,0.733,43.8,21.6,7.5,5.3,17.4,20.3,99.5,-0.57,104.8,105.7,15234.0,0.4146341463414634,0
99-00,0.444,0.331,0.469,0.745,43.0,21.2,9.7,3.5,15.4,27.1,99.3,-1.0,104.8,105.6,16673.0,0.4268292682926829,0
99-00,0.447,0.339,0.48,0.695,43.0,22.9,8.0,4.2,14.0,21.7,99.1,1.17,105.6,104.6,15018.0,0.5487804878048781,1
99-00,0.442,0.336,0.469,0.724,44.7,23.3,6.8,7.5,15.6,23.9,99.0,-1.76,103.5,105.8,15554.0,0.4268292682926829,0
99-00,0.457,0.368,0.477,0.759,43.7,25.6,9.1,5.3,16.7,24.1,98.9,5.24,104.6,99.0,18856.0,0.6463414634146342,1
99-00,0.467,0.346,0.481,0.78,42.5,26.9,7.6,5.4,13.9,23.3,98.5,2.67,106.1,103.4,16400.0,0.6097560975609756,1
99-00,0.449,0.339,0.469,0.758,42.9,24.7,8.9,5.9,14.7,20.4,98.4,2.33,104.3,101.4,17874.0,0.5975609756097561,1
99-00,0.433,0.347,0.454,0.784,40.9,20.6,8.8,4.8,13.6,23.3,98.0,-1.18,105.1,106.3,15698.0,0.3780487804878049,0
