EasternConference,W,L,WL,GB,PSG,PAG,SRS,PLY
Milwaukee Bucks,58,24,.707,0,116.9,113.3,3.61,1
Boston Celtic,57,25,.695,1.0,117.9,111.4,6.38,1
Philadelphia 76ers,54,28,.659,4.0,115.2,110.9,4.37,1
Cleveland Cavaliers,51,31,.622,7.0,112.3,106.9,5.23,1
New York Knicks,47,35,.573,11.0,116.0,113.1,2.99,1
Brooklyn Nets,45,37,.549,13.0,113.4,112.5,1.03,1
Miami Heat,44,38,.537,14.0,109.5,109.8,-0.13,1
Atlanta Hawks,41,41,.500,17.0,118.4,118.1,0.32,1
Toronto Raptors,41,41,.500,17.0,112.9,111.4,1.59,1
Chicago Bulls,40,42,.488,18.0,113.1,111.8,1.37,1
Indiana Pacers,35,47,.427,23.0,116.3,119.5,-2.91,0
Washington Wizards,35,47,.427,23.0,113.2,114.4,-1.06,0
Orlando Magic,34,48,.415,24.0,111.4,114.0,-2.39,0
Charlotte Hornets,27,55,.329,31.0,111.0,117.2,-5.89,0
Detroit Pistons,17,65,.207,41.0,110.3,118.5,-7.73,0
